1;Línea 1 - Ida;88,97,44,43,47,58,37,74,77,25,24,5,52,14,61,35,34,89
1;Línea 1 - Regreso;89,84,83,90,16,17,53,26,3,4,36,73,96,95,46,102,42,62,45,100
2;Línea 2 - Ida;48,13,79,7,84,83,90,16,17,55,53,26,3,4,19,21,9,30,31
2;Línea 2 - Regreso;31,8,33,20,25,24,5,54,2,51,15,81,82,80,48
3;Línea 3 - Ida;92,71,11,1,6,75,76,46,39,49,94,91
3;Línea 3 - Regreso;91,85,98,93,50,39,5,2,10,71,92
4;Línea 4 - Ida;1,6,75,76,29,27,87,86,103,70,60
4;Línea 4 - Regreso;60,70,88,63,65,64,77,25,5,1
5;Línea 5 - Ida;48,69,59,55,53,26,3,4,46,102,42,62,68
5;Línea 5 - Regreso;67,91,104,72,85,57,56,98,41,44,43,47,99,24,5,54,28,101,18,78,13
6;Línea 6 - Ida;1,6,75,76,38,40,66
6;Línea 6 - Regreso;66,32,39,12,22,33,20,23,25,24,5,1
