1;Línea 1 - Ida;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1;Línea 1 - Regreso;18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2;Línea 2 - Ida;38,39,40,41,19,20,21,22,23,42,24,25,26,27,43,44,45,46,47
2;Línea 2 - Regreso;47,48,49,50,10,11,12,51,52,53,54,55,56,57,38
3;Línea 3 - Ida;58,59,60,61,62,63,64,32,65,66,67,68
3;Línea 3 - Regreso;68,69,70,71,72,65,12,52,73,59,58
4;Línea 4 - Ida;61,62,63,64,74,75,76,77,78,79,80
4;Línea 4 - Regreso;80,79,1,81,82,83,9,10,12,61
5;Línea 5 - Ida;38,84,85,42,24,25,26,27,32,33,34,35,86
5;Línea 5 - Regreso;87,68,88,89,69,90,91,70,92,3,4,5,93,11,12,51,94,95,96,97,39
6;Línea 6 - Ida;61,62,63,64,98,99,100
6;Línea 6 - Regreso;100,101,65,102,103,49,50,104,10,11,12,61
